symbol,asset_class,quote_currency,pip_size,contract_size,unit_step
AUD/USD,forex,USD,0.0001,100000,1000
EUR/USD,forex,USD,0.0001,100000,1000
GBP/USD,forex,USD,0.0001,100000,1000
NZD/USD,forex,USD,0.0001,100000,1000
USD/JPY,forex,JPY,0.01,100000,1000
USD/CHF,forex,CHF,0.0001,100000,1000
USD/CAD,forex,CAD,0.0001,100000,1000
USD/MXN,forex,MXN,0.0001,100000,1000
USD/ZAR,forex,ZAR,0.0001,100000,1000
USD/TRY,forex,TRY,0.0001,100000,1000
USD/SEK,forex,SEK,0.0001,100000,1000
USD/NOK,forex,NOK,0.0001,100000,1000
USD/DKK,forex,DKK,0.0001,100000,1000
USD/PLN,forex,PLN,0.0001,100000,1000
USD/HUF,forex,HUF,0.0001,100000,1000
USD/CZK,forex,CZK,0.0001,100000,1000
USD/SGD,forex,SGD,0.0001,100000,1000
USD/HKD,forex,HKD,0.0001,100000,1000
USD/CNH,forex,CNH,0.0001,100000,1000
USD/THB,forex,THB,0.0001,100000,1000
USD/MYR,forex,MYR,0.0001,100000,1000
USD/PHP,forex,PHP,0.0001,100000,1000
USD/IDR,forex,IDR,0.0001,100000,1000
USD/INR,forex,INR,0.0001,100000,1000
USD/KRW,forex,KRW,0.0001,100000,1000
EUR/JPY,forex,JPY,0.01,100000,1000
GBP/JPY,forex,JPY,0.01,100000,1000
AUD/JPY,forex,JPY,0.01,100000,1000
CAD/JPY,forex,JPY,0.01,100000,1000
CHF/JPY,forex,JPY,0.01,100000,1000
NZD/JPY,forex,JPY,0.01,100000,1000
EUR/GBP,forex,GBP,0.0001,100000,1000
EUR/AUD,forex,AUD,0.0001,100000,1000
EUR/CAD,forex,CAD,0.0001,100000,1000
EUR/CHF,forex,CHF,0.0001,100000,1000
EUR/NZD,forex,NZD,0.0001,100000,1000
EUR/SEK,forex,SEK,0.0001,100000,1000
EUR/NOK,forex,NOK,0.0001,100000,1000
EUR/DKK,forex,DKK,0.0001,100000,1000
EUR/PLN,forex,PLN,0.0001,100000,1000
EUR/TRY,forex,TRY,0.0001,100000,1000
EUR/ZAR,forex,ZAR,0.0001,100000,1000
EUR/MXN,forex,MXN,0.0001,100000,1000
EUR/HUF,forex,HUF,0.0001,100000,1000
EUR/CZK,forex,CZK,0.0001,100000,1000
EUR/SGD,forex,SGD,0.0001,100000,1000
EUR/HKD,forex,HKD,0.0001,100000,1000
GBP/AUD,forex,AUD,0.0001,100000,1000
GBP/CAD,forex,CAD,0.0001,100000,1000
GBP/CHF,forex,CHF,0.0001,100000,1000
GBP/NZD,forex,NZD,0.0001,100000,1000
GBP/SEK,forex,SEK,0.0001,100000,1000
GBP/NOK,forex,NOK,0.0001,100000,1000
GBP/PLN,forex,PLN,0.0001,100000,1000
GBP/ZAR,forex,ZAR,0.0001,100000,1000
GBP/TRY,forex,TRY,0.0001,100000,1000
GBP/SGD,forex,SGD,0.0001,100000,1000
AUD/CAD,forex,CAD,0.0001,100000,1000
AUD/CHF,forex,CHF,0.0001,100000,1000
AUD/NZD,forex,NZD,0.0001,100000,1000
AUD/SGD,forex,SGD,0.0001,100000,1000
AUD/HKD,forex,HKD,0.0001,100000,1000
CAD/CHF,forex,CHF,0.0001,100000,1000
NZD/CAD,forex,CAD,0.0001,100000,1000
NZD/CHF,forex,CHF,0.0001,100000,1000
NZD/SGD,forex,SGD,0.0001,100000,1000
CHF/PLN,forex,PLN,0.0001,100000,1000
XAU/USD,metal,USD,0.01,100,1
XAG/USD,metal,USD,0.001,5000,1
XPT/USD,metal,USD,0.01,100,1
XPD/USD,metal,USD,0.01,100,1
WTI/USD,energy,USD,0.01,1000,1
BRENT/USD,energy,USD,0.01,1000,1
NATGAS/USD,energy,USD,0.001,10000,1
US30,index,USD,1,1,1
US500,index,USD,1,1,1
USTEC,index,USD,1,1,1
DE40,index,USD,1,1,1
UK100,index,USD,1,1,1
JP225,index,USD,1,1,1
AUS200,index,USD,1,1,1
FRA40,index,USD,1,1,1
EU50,index,USD,1,1,1
SPA35,index,USD,1,1,1
HK50,index,USD,1,1,1
CHINA50,index,USD,1,1,1
BTCUSDT,crypto,USD,0.01,1,0.001
ETHUSDT,crypto,USD,0.01,1,0.001
SOLUSDT,crypto,USD,0.01,1,0.001
XRPUSDT,crypto,USD,0.01,1,0.001
ADAUSDT,crypto,USD,0.01,1,0.001
DOGEUSDT,crypto,USD,0.01,1,0.001
AVAXUSDT,crypto,USD,0.01,1,0.001
LINKUSDT,crypto,USD,0.01,1,0.001
DOTUSDT,crypto,USD,0.01,1,0.001
TONUSDT,crypto,USD,0.01,1,0.001
LTCUSDT,crypto,USD,0.01,1,0.001
BCHUSDT,crypto,USD,0.01,1,0.001
UNIUSDT,crypto,USD,0.01,1,0.001
ATOMUSDT,crypto,USD,0.01,1,0.001
TRXUSDT,crypto,USD,0.01,1,0.001
XLMUSDT,crypto,USD,0.01,1,0.001
NEARUSDT,crypto,USD,0.01,1,0.001
APTUSDT,crypto,USD,0.01,1,0.001
ARBUSDT,crypto,USD,0.01,1,0.001
OPUSDT,crypto,USD,0.01,1,0.001
SUIUSDT,crypto,USD,0.01,1,0.001
ICPUSDT,crypto,USD,0.01,1,0.001
FILUSDT,crypto,USD,0.01,1,0.001
INJUSDT,crypto,USD,0.01,1,0.001
AAVEUSDT,crypto,USD,0.01,1,0.001
GRTUSDT,crypto,USD,0.01,1,0.001
THETAUSDT,crypto,USD,0.01,1,0.001
EOSUSDT,crypto,USD,0.01,1,0.001
CHZUSDT,crypto,USD,0.01,1,0.001
SANDUSDT,crypto,USD,0.01,1,0.001
MANAUSDT,crypto,USD,0.01,1,0.001
AXSUSDT,crypto,USD,0.01,1,0.001
GALAUSDT,crypto,USD,0.01,1,0.001
IMXUSDT,crypto,USD,0.01,1,0.001
RUNEUSDT,crypto,USD,0.01,1,0.001
TIAUSDT,crypto,USD,0.01,1,0.001
SEIUSDT,crypto,USD,0.01,1,0.001
PEPEUSDT,crypto,USD,0.01,1,0.001
ORDIUSDT,crypto,USD,0.01,1,0.001
WIFUSDT,crypto,USD,0.01,1,0.001
BNBUSDT,crypto,USD,0.01,1,0.001
ETCUSDT,crypto,USD,0.01,1,0.001
VETUSDT,crypto,USD,0.01,1,0.001
Stock (your ticker),stock,USD,0.01,1,1
Custom instrument,custom,USD,0.0001,1,0.001
