consecutive_losses,equity_remaining_0.5pct,equity_remaining_1pct,equity_remaining_2pct
1,99.50%,99.00%,98.00%
2,99.00%,98.01%,96.04%
3,98.51%,97.03%,94.12%
4,98.01%,96.06%,92.24%
5,97.52%,95.10%,90.39%
6,97.04%,94.15%,88.58%
7,96.55%,93.21%,86.81%
8,96.07%,92.27%,85.08%
9,95.59%,91.35%,83.37%
10,95.11%,90.44%,81.71%
11,94.64%,89.53%,80.07%
12,94.16%,88.64%,78.47%
13,93.69%,87.75%,76.90%
14,93.22%,86.87%,75.36%
15,92.76%,86.01%,73.86%
16,92.29%,85.15%,72.38%
17,91.83%,84.29%,70.93%
18,91.37%,83.45%,69.51%
19,90.92%,82.62%,68.12%
20,90.46%,81.79%,66.76%
